OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Seji B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Semrahat B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Shadora S.O,Sub Post Office,473330,07543-226522,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Shri Anandpur S.O,Sub Post Office,473338,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Subash Ganj Ashoknagar S.O,Sub Post Office,473331,07543-225073,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Taraoli B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Tumen B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Badera B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Chanderi S.O,Sub Post Office,473446,07547-243222,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Dungasara B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Hansari B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
